title,text,label,succ,meta,user,mentions,prev
German lawmakers approve 'no means no' rape law after Cologne assaults,"This would be a very reasonable sentence if it had one caveat, namely, boiling these subhuman scumbags in pig blood.",1,???,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,GoReaganGo,@46and2,"""On Thursday, a local court in Cologne handed down the first conviction for a sexual offense on New Year's Eve. A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" That is some aggressive sentencing there, I am absolutely certain that will deter such behavior from them in the future."
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity","If you are actually a highly qualified student, you can find a scholarship and financial aid to attend college, without ""Affirmative Action"" becoming involved. I think maybe you are just posting some ""feelings"" not founded on fact.",0,"Consider that the number of scholarships that are available to non-caucasian, non-asian students is much higher than for those two classes. Those scholarships also have lower standards to apply.","If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",delegate,@insideout26529,"I'm Asian. And can't afford college even though I'm in the upper 1% of my graduating class. As a race, we are by far fewer in number in the general population than Blacks or Hispanics. Yet I don't qualify for Affirmative Action. Why isn't my ""diversity"" valued the same as other minorities? Why the double standard?"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","Nah, he didn't come up with that one himself either.@cuss did and he's been parroting it. Like I said, he's not capable of an original thought.",0,"He's not capable of any thought, period!",Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,SB117,@Andrew917 @SB117 @wayne230,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist."
Black Lives Matter must rescind anti-Israel declaration,Is there anything Alan does not have an opinion about?,0,,It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,LeftandRightareWrong,,
States moving to restore work requirements for food stamp recipients,Paid 0 in two years we've seen. I don't believe he pays thus no income taxes releases,0,maybe they should have gotten an education or learned a trade.,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",Sierra415,,
First lady Obama takes swipe at Trump,Just curious...why do or should we care what she has to say?,0,'Good question...,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",hockeyfan13,,
Navy names ship after gay rights advocate Harvey Milk,"I sure you""ll enjoy; G.F.Y.",0,Thanks for admitting you lost this argument.,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Windvane60,@Tygher @Windvane60 @EyeseeItTygher;Something,Good to see the Conservative hate machine rev up. Keep it up Cons--- you're quickly becoming irrelevant. Or is this the Christ-like behavior you're always talking about?
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity","If a black leaves high school and can't sign his name or read above a 6th grade level, what makes anyone think he will do any better in college...? Everyone doesn't belong in college. The country needs thousands of burger flippers and broom pushers.",1,Not just low income unskilled. We need plumbers and mechanics too. You are right college isn't for everyone. Work is.,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",EZinTexas,,
Navy names ship after gay rights advocate Harvey Milk,"So this guy was in the Navy and gay. But because he was ""really gay"" and outspoken we named a Fu_kin ship after him?",1,and he was a pedo,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Hellisforever1,,
Fury as feminist blames toddler alligator death on white 'entitlement',It's a COOKBOOK!,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",VivianLee,@InventPeace,"RE: ET's contacting earth in 1500 years.. yeah... hope they don't like slaves or human flesh... we must be the wisest beings in existence... to send out constant radio waves, deep space launches, which tell any one and everyone what our tech is and many of our weakness's, so smart to send up a beacon so any and all pirate ET's will know where we are.. Genius !! I'm sure our descendants 1501 years from now will be so thankful for our lack of forethought as they are being led off to the giant meat grinder."
German lawmakers approve 'no means no' rape law after Cologne assaults,STUPID Politicians seeking relevancy to the stupid sheeple!,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,12345abcde,@SSBN738G,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
Confederate flag debate: Protecting hatred preserves freedom,it flying high here thats why Americans are joining Isis,0,Why can't we look at both issues?,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",BelieversKnow,@pop555 @BelieversKnow,that flag is no more terrible than YOU are
Fury as feminist blames toddler alligator death on white 'entitlement',White guilt is strong with grubers. HA HA,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",MarineAssassin,,
Black Lives Matter must rescind anti-Israel declaration,"There is a mistake in reporting right off the bat in this article: ""BLM which has done so much good in raising awareness of police abuses..."" SERIOUSLY? They became active with the JUSTIFIED officer shooting of Mike Brown. And since then every police shooting which they have used as excuses to riot, with the possible exception of 2 or 3, have been found to be JUSTIFIED. And the officers in those UNJUSTIFIED shootings have been convicted. Contrary to your statement, BLM has done tremendous damage to this country in numerous ways. A large segment of Blacks now believe it is socially acceptable to be openly racist, hostile, and aggressive towards random White people, while attacks and assaults on White elderly and helpless people is openly celebrated.",1,,It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,Truthseeker2000,,
Navy names ship after gay rights advocate Harvey Milk,Whats it like living in 1912?,0,With all the nasty old STDs that are now drug resistant the libidinous are going to learn about chastity the hard way. A shot won't fix it anymore.,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",stldsf1,@turtletank @stldsf1 @whybotherwithliberals,"So, it's a ship that oils up other ships and hauls away their effluence? I guess, if you have politicians this determined to name a ship after a rumpranger an oiler is the best option."
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",AND EVERYWHERE ELSE IN DUMMYCRAP DISTRICTS THE DEAD VOTE,1,"A wise Indian chief once said, ""Sure you can trust the government"". He only said it once......And he wasn't considered very ""wise"" any more.","A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",killterrists,@POTUSisaliiar,"DemocRats love illegals ,,, & why you may ask?,, because they can round them up and have them vote in elections. Only Grubers believe there is no voter fraud, yes the dead do vote in Chicago !"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",You need a gibberish->English translator to understand any of his posts.,0,I do right now because these post aren't making any sense.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,SB117,,
First lady Obama takes swipe at Trump,"My point was she can't help the genetic ""cards"" she was dealt any more than you or I (or anyone else) can. Carve her up on her totally B.S. liberalbeliefs. THOSE she can be held responsible for/criticized for legitimately...",0,"She lives behind a wall guarded by guys with guns, and lectures the rest of us.","First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",puhleeze,@brando5 @puhleeze,"At least trump has a wife that is easy on the eyes, MOOCHELL makes is so hard to look at.. just hideously ugly.."
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity",Testing 123,0,,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",olivianeistat,,
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity","In America the only qualification you need is to be black, Latino, a woman, or part of the LGBT community. That means white males are the most discriminated demographic in the U.S.",1,,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",RedFox001,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","These are celebrities? They are monkeys howlling at the moon! North Carolina has the right to make laws for their own state. Obama does NOT, and neither do any of your so called celebrities! What you and many others forget is that the United States of America is a collection of dependent states having their own morals and laws. Obama thinks that President means KING. It doesn't. It means limited leader. There are many things he cannot legally do, and this happens to be one of them!",0,,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,rxwhitmer,@TurnHearts,"Has anyone heard if Bruce Springsteen, Ringo Starr, and other celebrities and corporations who condemned/boycotted NC are going to do the same to these other states? All I have heard is ..... crickets... Come on, where is the equality in your outrage, liberals? I can't hear you!"
First lady Obama takes swipe at Trump,and progs never do anything hypocritical. Guess it takes a hypocrite to know one.,0,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",whoknew2,@Jackumup2,"Its funny how he bloviates about others not accepting him and anybody else thats frakish, yet doesn't he's doing the same thing"
German lawmakers approve 'no means no' rape law after Cologne assaults,"In true liberal fashion, an ordinance that no means no, was passed. That will end all rapes by muslimes in Fatherland.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Kenyantraitor,,
Navy names ship after gay rights advocate Harvey Milk,With all the nasty old STDs that are now drug resistant the libidinous are going to learn about chastity the hard way. A shot won't fix it anymore.,0,who didn't get the bathroom heel clicking,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",turtletank,@stldsf1 @turtletank @whybotherwithliberals,"I find the pure hate the flows through the keyboards of the Fox ""Christians"" to be far more disgusting than anything Harvey Milk ever did"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",The latest projections are the Orange Clown loses in a landslide.,0,Here's hoping he brings as many Republicans down with him as possible.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,Andrew917,@ProfessorHeisenberg,"If Trump ever endorses violence against liberals, I will comply with his wishes, gladly."
German lawmakers approve 'no means no' rape law after Cologne assaults,look like merkel just want to get laid,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,AllaGranovskaya,,
Black Lives Matter must rescind anti-Israel declaration,BLACK OLIVES MATTER,0,,It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,DEGJR5047,,
First lady Obama takes swipe at Trump,Does anyone care about anything about what she cares???? Diversity? How about TRASHY!!!,1,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",deejohnson,,
Fury as feminist blames toddler alligator death on white 'entitlement',"When the black child fell into the gorilla cage ... and the gorilla was shot to save the boy ... many people signed a petition to have the mom prosecuted for failing to watch her child. Here an alligator eats a white child ... and there are signs everywhere telling people not to go in the water ... but there are no petitions being signed asking for the boy's dad to be prosecuted. That's the issue .... black people should be condemned ... white people are ""privileged"" and get a pass and sympathy. For those of you pretending it is otherwise... oh well, you can always be part of the problem instead of part of the solution.",0,I take it you're femme_esq?,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",karvictho,,
Confederate flag debate: Protecting hatred preserves freedom,"Former governor Howard Dean (D., Vt.) told the Democratic National Committee in 2003 that “white folks in the South who drive pickup trucks with Confederate-flag decals on the back ought to be voting with us.” That November, Dean declared: “I still want to be the candidate for guys with Confederate flags in their pickup trucks.” Two years later, he became chairman of the Democratic National Committee.",0,"I think you've missed the point of his comments. ""Missing the point"" seems to be a common theme with you.","The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",EricPedersen,,
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",Like I said....How much did you pay?,0,The only thing free in your society are herpes and hemorrhoids,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",SeanReed,@SpayAndNeuterYourLiberals @SeanReed,Fence-climbing hasn't been recognized as an Olympic event......
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity",Trading is the best thing that ever happened to me. I’m a student and I’m proud to say that I’m profiting really well. If you want to learn how to trade and profit from trading. Search Superior Trading System.,0,,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",welmabendben,,
States moving to restore work requirements for food stamp recipients,"Good. If I have to work for money and food then so should the leeches of society. Food stamps should really be eliminated totally. Then you'll see unemployment truly drop. If you have kids you can't afford, have no family or friends for help, and need the government to survive, you made poor choices and deserve to live with the consequences.",1,,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",LibtardTroller,,
Navy names ship after gay rights advocate Harvey Milk,USS MILK................. IT'S A FERRY............... I MEAN FAIRY !,1,,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",SUCHAJOKE,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",Liberals can't distinguish men from women. Nor do they want to.,1,Cons can't distinguish morality from the rantings of a barbaric ancient middle eastern desert tribe.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,ProfessorHeisenberg,,
German lawmakers approve 'no means no' rape law after Cologne assaults,"And this is the vaunted ""European Society"" America's liberals want us to emulate?",0,Feel the bern,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Sooreborn,,
German lawmakers approve 'no means no' rape law after Cologne assaults,My Lilly Esin once in a blue moon got a new choice of the crop Chevrolet Corvette Stingray Coupe by unavailable off of a laptop... Flash it out.,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,haruzuse,,
German lawmakers approve 'no means no' rape law after Cologne assaults,"Expect more and more women to be asking .. ""why are men no longer interested in me""! We're not going touch you until you pull our pants down!",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,PostApocalypticHero,,
Navy names ship after gay rights advocate Harvey Milk,"Oh, an article on Fox couldn't possibly be wrong. That's hilarious!",0,Why do you keep lying? He was discharged dishonourably.,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Tygher,@GOTRUMPFORAMERICA,"As a Navy Veteran, I hope that they painted a target on the hull...."
First lady Obama takes swipe at Trump,Her time might be better spent packing.,0,...not as much as you think since Hillary will be moving in...,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",Archangeljack,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","Could this be the real reason, as to why Ms. Clinton basically stopped wearing dresses and pantyhose? Could she possibly have possessed the wisdom to determine what a high-risk liability it would be, having pantyhose entangled about her ankles, as an unknown man entered the ladies room with her, unbeknownst, or did Mr. Clinton simply forewarn her, as to the potential danger? Will the left seek to ban ladies from wearing pantyhose, next, and maybe even dresses, deeming such to be an unnecessary risk within the ladies room?",1,0/10,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,WisdomKitty,,
Fury as feminist blames toddler alligator death on white 'entitlement',"What a surprise!!!! Another ugly, self-proclaimed ""feminist"". After 30 years of observation, I'm thinking being ugly is a requirement.",1,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",kdlnola,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","Since there isn't any nonsense in the Bible, these things surely are worse.",0,"No nonsense in the bible? That's funny, scouty!!",Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,freedomscout,@LarJass,"He's not capable of any thought, period!"
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",Liberals are brain-dead. Does that count?,0,pulse or no pulse there registered.,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",SpayAndNeuterYourLiberals,@7thDay @paul84043,Don't forget the dead also
Navy names ship after gay rights advocate Harvey Milk,Or at least ones that didn't openly brag about their pedophilia exploits,1,Or behind...,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",dinsmo81,@IndictHillary,"Sorry, Navy, but this is just wrong! There must be numerous homosexuals who have served our country with distinction and not been given a ""less than honorable"" discharge. The ship could have been named after one of them."
Black Lives Matter must rescind anti-Israel declaration,"BLM is a terrorist organization funded by the left. As a prominent member of the left Alan, you should know this. So call all your Jewish friends like Soros and tell them to stop sending the checks. Good luck with that.",1,,It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,ShoogafootJones,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",No one as in nobody is answering or no one as in nobody is going to be last in heaven despite what Jesus said?,0,"No one, as in my guess is no one.",Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,AlienNation,@mdr1975 @AlienNation,"I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?"
Navy names ship after gay rights advocate Harvey Milk,If you were a Veteran you would not say that. Why would you want a bunch of kids put in harms way that had no say in the matter?,0,"technically, they do. They just may not be in the military anymore if they speak out.","The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Justasouthernguy,@GOTRUMPFORAMERICA,"As a Navy Veteran, I hope that they painted a target on the hull...."
Fury as feminist blames toddler alligator death on white 'entitlement',Who would want them?,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",jmgandolfo,@ClownsToTheLeftOfMeJokersToTheRight @JDmd,I take it you're femme_esq?
"ICE program failing to rid US of dangerous illegal immigrants, analysts say","Stop screwing with the taxpayers safety and security. If you liberal police chiefs cant follow the law of the land, then its high time you find another occupation.",0,,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",frommie,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",The polls are accurate Wayne. Pollsters compete with each other for contracts and as a result focus on accuracy. They have no problem predicting elections within the margin of error. A couple like Fox and Rasmussen have a Republican house effect of around 3 points. A couple like PPP have a Dem house effect of around 3. The polls say Trump isn't doing very well. Worse than they said McCain and Romney were doing at this same time. EVEN Fox's polls.,0,why does that Neke Silver say that Trump will win by 57 percent?? they can easily find Democrats in Manhattans. but they don't like Hilary at all not many do,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,Andrew917,@wayne230 @Andrew917,but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Fury as feminist blames toddler alligator death on white 'entitlement',i blame the parents for this childs death putting him in a no swimming area of water when he could ave just went in the main pool where the water is heated instead of the lagoon which was cold,0,That and $5 will get you a cup of coffee. I blame you. You were not there...it's amazing how people like you always have an opinion and usually it's ill informed and wrong.,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",jpgpro3,,
Confederate flag debate: Protecting hatred preserves freedom,Yes their flag should be protected Beheading people and pushing them.off buildings is not speech.,0,,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",canislupis,,
Confederate flag debate: Protecting hatred preserves freedom,Very incorrect - the First Amendment applies to citizens - not any branch of Government.,0,You need a refresher course.,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",br782,@DemocracyManifest,"Our government has three branches: Legislative, Executive, and Judicial. The First Amendment only talks about what Congress can do. There's nothing in the Constitution about the Executive or Judicial branch not limiting speech, and those branches do it routinely when it serves their interest. Stop perpetuating myths foxbots."
Navy names ship after gay rights advocate Harvey Milk,"He served in the Navy for 4 years, but was forced out with an ""Other than honorable"" discharge. Shouldn't we be naming ships after people who received an honorable discharge at the very minimum??",0,,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",mikekley,@daisman,"Pathetic! If I was in the Navy when the ship comes out, I'd refuse to serve on it! This guy was no military anything, never served! Not a key United States government person, just a local nobody! Pathetic!"
German lawmakers approve 'no means no' rape law after Cologne assaults,"So, how many sexual assaults would there be if Muslims were burned in ovens?",1,Probably a lot less. What's your point?,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,woetothegutless,,
German lawmakers approve 'no means no' rape law after Cologne assaults,if u have a job...do it right. they are in demand now and we don't need blackasses acting like monkeys. GIT ur ACT TOGETHER.,1,Too things I hate the most. Hoplophobes and Racists.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,gilshuttlecok,,
Black Lives Matter must rescind anti-Israel declaration,most BLM members or wanna be BLM members are Muslims anyway. Or worse liberals!!,1,,It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,buckeye23,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",why not? she is why Hilary matters,0,Not me.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,wayne230,@Andrew917 @wayne230 @SB117 @ProfessorHeisenberg,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","So, no source on your claim. Ok then.",0,which you push like mad I get so sick of the lie called equal rights,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,SB117,,
Fury as feminist blames toddler alligator death on white 'entitlement',They're animals anyway so let them lose their souls,0,I see you also enjoyed the book The Godfather!,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",BobFL46,,
German lawmakers approve 'no means no' rape law after Cologne assaults,Merkel would never say NO,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,barryswallows,,
Fury as feminist blames toddler alligator death on white 'entitlement',"The parents were 30 feet away from the child, it was their fault! His opinion isn't ill informed or wrong, it's spot on! You don't leave a 2 year old playing in water!",0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",Steven1963,@venytomate @jpgpro3,That and $5 will get you a cup of coffee. I blame you. You were not there...it's amazing how people like you always have an opinion and usually it's ill informed and wrong.
States moving to restore work requirements for food stamp recipients,That sounds like a win win then right? Trump 2016 & 2020!!!,0,,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",ghzsd,@Sierra415,60% of people believe Sadam responsible for 9/11. People are stupid Or should I say poorly educated
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",Your interpretation of the Bible is flawed so making you understand anything from it will never happen until you recognize your need for a savior.,0,So you admit it. Your morality is coming from the bible and not science or medicine. Thank you for making my point.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,lgrngreen,@Andrew917 @lgrngreen @LarJass @rxwhitmer,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","Honestly, who is Sharon? I don't get the joke.",0,so far thats you,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,SB117,@wayne230 @SB117 @Andrew917,but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Fury as feminist blames toddler alligator death on white 'entitlement',The woman appears to be living proof that God has a sense of humor.,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",JohnRader,,
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",Nothing will get better until U.S. Resident Obama is removed from the oval office... 50 million plus illegal aliens are a large portion of the demoRATic voter base... we do you think demoRATs are doing everything they can to keep ID's out of the voting booths. Fraud in fraud out!,1,,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",a79jmt,,
Confederate flag debate: Protecting hatred preserves freedom,It sure looks that way,0,,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",idahoron,@azolfos,"There is NO entity in America that will ever oppress my 1st Amendment right which also includes any individual in government office. Obama, by ordering retail outlets to stop sales of a flag has become a domestic enemy of the 1st Amendment."
